No.,Time,Source,Destination,Protocol,Length,Win
1,0,10.0.0.3,10.0.0.2,TCP,74,29200
2,0.940928,10.0.0.1,10.0.0.2,TCP,74,29200
3,1.09842,10.0.0.2,10.0.0.1,TCP,74,28960
4,1.149058,10.0.0.1,10.0.0.2,TCP,66,29696
5,1.166515,10.0.0.1,10.0.0.2,TCP,2114,29696
6,1.178613,10.0.0.1,10.0.0.2,TCP,1514,29696
7,1.191504,10.0.0.1,10.0.0.2,TCP,1514,29696
8,1.214977,10.0.0.1,10.0.0.2,TCP,2962,29696
9,1.227163,10.0.0.1,10.0.0.2,TCP,1514,29696
10,1.251779,10.0.0.1,10.0.0.2,TCP,2962,29696
11,1.26343,10.0.0.1,10.0.0.2,TCP,1514,29696
12,1.317733,10.0.0.2,10.0.0.1,TCP,66,33280
13,1.34982,10.0.0.2,10.0.0.1,TCP,66,36352
14,1.362485,10.0.0.2,10.0.0.1,TCP,66,38912
15,1.393175,10.0.0.1,10.0.0.2,TCP,2962,29696
16,1.397834,10.0.0.2,10.0.0.1,TCP,66,45056
17,1.412073,10.0.0.1,10.0.0.2,TCP,1514,29696
18,1.425026,10.0.0.1,10.0.0.2,TCP,1514,29696
19,1.446346,10.0.0.2,10.0.0.1,TCP,66,47616
20,1.472318,10.0.0.1,10.0.0.2,TCP,2962,29696
21,1.482381,10.0.0.2,10.0.0.1,TCP,66,53760
22,1.508092,10.0.0.2,10.0.0.1,TCP,66,56320
23,1.508557,10.0.0.1,10.0.0.2,TCP,1514,29696
24,1.55674,10.0.0.1,10.0.0.2,TCP,2962,29696
25,1.571148,10.0.0.1,10.0.0.2,TCP,1514,29696
26,1.66407,10.0.0.2,10.0.0.1,TCP,66,62464
27,1.712569,10.0.0.2,10.0.0.1,TCP,66,65024
28,1.724586,10.0.0.2,10.0.0.1,TCP,66,68096
29,1.738399,10.0.0.1,10.0.0.2,TCP,2962,29696
30,1.775115,10.0.0.1,10.0.0.2,TCP,1514,29696
31,1.785941,10.0.0.2,10.0.0.1,TCP,66,73728
32,1.7873,10.0.0.1,10.0.0.2,TCP,1514,29696
33,1.857912,10.0.0.2,10.0.0.1,TCP,66,76800
34,1.860535,10.0.0.1,10.0.0.2,TCP,2962,29696
35,1.920654,10.0.0.1,10.0.0.2,TCP,1514,29696
36,1.920636,10.0.0.2,10.0.0.1,TCP,66,82432
37,1.943149,10.0.0.2,10.0.0.1,TCP,66,85504
38,1.995783,10.0.0.1,10.0.0.2,TCP,2962,29696
39,2.007138,10.0.0.1,10.0.0.2,TCP,1514,29696
40,2.020314,10.0.0.1,10.0.0.2,TCP,1514,29696
41,2.124316,10.0.0.2,10.0.0.1,TCP,66,91136
42,2.19698,10.0.0.2,10.0.0.1,TCP,66,94208
43,2.209193,10.0.0.2,10.0.0.1,TCP,66,96768
44,2.271417,10.0.0.1,10.0.0.2,TCP,1514,29696
45,2.294779,10.0.0.2,10.0.0.1,TCP,66,102912
46,2.369111,10.0.0.1,10.0.0.2,TCP,2962,29696
47,2.39156,10.0.0.2,10.0.0.1,TCP,66,105472
49,2.475609,10.0.0.2,10.0.0.1,TCP,66,111616
50,2.499828,10.0.0.2,10.0.0.1,TCP,66,114176
51,2.536205,10.0.0.2,10.0.0.1,TCP,66,117248
52,2.562072,10.0.0.1,10.0.0.2,TCP,1514,29696
53,2.598542,10.0.0.1,10.0.0.2,TCP,1514,29696
54,2.802763,10.0.0.2,10.0.0.1,TCP,78,120320
55,2.865038,10.0.0.1,10.0.0.2,TCP,1514,29696
56,2.912374,10.0.0.2,10.0.0.1,TCP,78,125952
57,2.9746,10.0.0.1,10.0.0.2,TCP,1514,29696
58,3.008493,10.0.0.2,10.0.0.1,TCP,78,129024
59,3.070747,10.0.0.1,10.0.0.2,TCP,1514,29696
60,3.093328,10.0.0.2,10.0.0.1,TCP,86,131584
61,3.130975,10.0.0.2,10.0.0.1,TCP,86,134656
62,3.155552,10.0.0.1,10.0.0.2,TCP,1514,29696
63,3.193206,10.0.0.1,10.0.0.2,TCP,1514,29696
64,3.205378,10.0.0.1,10.0.0.2,TCP,1514,29696
65,3.373803,10.0.0.2,10.0.0.1,TCP,86,137728
66,3.43604,10.0.0.1,10.0.0.2,TCP,1514,29696
67,3.493336,10.0.0.2,10.0.0.1,TCP,86,140288
68,3.602726,10.0.0.2,10.0.0.1,TCP,78,143360
69,3.664925,10.0.0.1,10.0.0.2,TCP,1514,29696
70,3.711001,10.0.0.2,10.0.0.1,TCP,78,146432
71,3.748396,10.0.0.2,10.0.0.1,TCP,78,148992
72,3.760228,10.0.0.2,10.0.0.1,TCP,78,152064
73,3.773207,10.0.0.1,10.0.0.2,TCP,1514,29696
74,3.81096,10.0.0.1,10.0.0.2,TCP,1514,29696
75,3.822773,10.0.0.1,10.0.0.2,TCP,1514,29696
76,3.991019,10.0.0.2,10.0.0.1,TCP,78,155136
77,4.053404,10.0.0.1,10.0.0.2,TCP,1514,29696
78,4.208512,10.0.0.2,10.0.0.1,TCP,86,157696
79,4.27074,10.0.0.1,10.0.0.2,TCP,1514,29696
80,4.32881,10.0.0.2,10.0.0.1,TCP,86,160768
81,4.365266,10.0.0.2,10.0.0.1,TCP,86,163840
82,4.377392,10.0.0.2,10.0.0.1,TCP,86,166400
83,4.391156,10.0.0.1,10.0.0.2,TCP,1514,29696
84,4.427498,10.0.0.1,10.0.0.2,TCP,1514,29696
